Category,Tender Description,Advertised,Cancelled
Services: General,Proposal on Green Fuel Generation (GFG) Research Study for the Independent Power Producers Office (IPPO) KFW Work Package KFWWP05,18/02/2022,[object Object]
Services: General,"Proposal on the enablement of the energy sector developments through Optimised Grid establishment strategies, to facilitate the implementation of the IRP. Research Study for the Independent Power Producers Office (IPPO) KFW Work Package KFWWP03",18/02/2022,[object Object]
Services: General,Proposal on the Implementation of the Renewable Energy Development Zones and Collector Station enablement for the Independent Power Producers Office (IPPO) KFW Work Package KFWWP04,18/02/2022,[object Object]
Services: General,APPOINTMENT OF A SERVICE PROVIDER THAT CAN IMPLEMENT AN INTEGRATED SPATIAL INFORMATION SYSTEM FOR THE IPP OFFICE KFW Work Package KFWWP02,18/02/2022,[object Object]
Services: General,Scenarios for the transformation of the South African power landscape and the role of key stakeholders in the transformation and end state - KFW Work Package KFWWP01,18/02/2022,[object Object]
Services: Professional,APPOINTMENT OF SERVICE PROVIDER/S (COACHES) FOR THE PROVISION OF COACHING SERVICE TO THE WRC EMPLOYEES,18/02/2022,[object Object]
Information service activities,NTP Radioisotopes subsidiary of Necsa requires the services of a suitably qualified service provider to provide a Quality Management System.,18/02/2022,[object Object]
Other service activities,"Appointment of a service provider to design and install a covering for the roof and the sides of "" the bombed clinic"" and create and exhibition at Mama Winnie Madikizela-Mandela House in Brandfort.",18/02/2022,[object Object]
"Electricity, gas, steam and air conditioning",Flue Stacks 1&2 Structural Inspections at Tutuka Power Station,18/02/2022,[object Object]
Construction,"THE SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF BBC PERIMETER FENCE FOR TRANSNET SOC LTD (REG.NO 1990/000900/30) OPERATING AS TRANSNET PORT TERMINALS (HEREINAFTER REFERRED TO AS “TPT"") AT THE PORT OF DURBAN POINT CAR TERMINAL (MPT), AGRI-PORT TERMINAL AND MAYDON WHARF TERMINAL",18/02/2022,[object Object]
Services: Building,APPOINTMENT OF A SERVICE PROVIDER FOR REPAIRS AND MAINTENANCE AT BOROLELO COMMUNITY HALL,18/02/2022,[object Object]
Printing and reproduction of recorded media,"Design, Printing, delivery and installation of outdoor posters",18/02/2022,[object Object]
Services: Functional (Including Cleaning and Security Services),"APPOINTMENT OF THE SERVICE PROVIDER TO PROVIDE OFFICE CLEANING,DEEP CLEANING,HYGIENE AND PEST CONTROL FOR THE PERIOD OF THIRTY-SIX (36) MONTHS",18/02/2022,[object Object]
Services: General,"Design, Printing, Delivery and Installation of Outdoor Posters",18/02/2022,[object Object]
Services: Professional,Appointment of an Executive Recruitment Agency to Oversee the Recruitment of the Chief Executive Officer,18/02/2022,01/01/1
Other service activities,Branding of New Municipal Vehicle and Plant Machinery,18/02/2022,[object Object]
Other service activities,Branding of New Municipal Vehicles and Plant Machinery,18/02/2022,[object Object]
Services: Building,Plant Pathogen Quarantine Facility Upgrade,18/02/2022,[object Object]
Supplies: Stationery/Printing,APPOINTMENT OF A SERVICE PROVIDER FOR SUPPLY AND DELIVERY OF STATIONERY AS AND WHEN REQUIRED FOR THE PERIOD OF 12 MONTHS,18/02/2022,[object Object]
Supplies: General,APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY AND DELIVERY OF OFFICE FURNITURE FOR KGETLENGRIVIER LOCAL MUNICIPALITY,18/02/2022,[object Object]
"Water collection, treatment and supply",SUPPLY AND DELIVERY OF DETECTION EQUIPMENT FOR RAND WATER ZUIKERBOSCH WATER TREATMENT.,18/02/2022,[object Object]
Services: Building,TENDER BRIEF FOR PROFESSIONAL SERVICES - FOR THE PROVISION OF FIRE ESCAPE STAIR BETWEEN FLOORS 5&6 AT IZIKO SOUTH AFRICAN MUSEUM,18/02/2022,[object Object]
Mining of coal and lignite,Request for Proposal for the supply of limestone to Kusile and/or any Eskom Power Station for an estimated period of up to ten (10) years.,18/02/2022,[object Object]
Other service activities,"Design, Printing, delivery and installation of outdoor posters",18/02/2022,[object Object]
Services: General,"PROVISION OF ASSESSMENT, SERVICING AND REPAIRS OF LV MOTORS AT RAND WATER FOR A PERIOD OF 3 YEARS ON AN AS AND WHEN REQUIRED BASIS",18/02/2022,[object Object]
Services: General,"PLACEMENT, MAINTENANCE, REPAIRS OF LIFTS AND RESPONSE TO CALL-OUTS AT VARIOUS HEALTH FACILITIES WITHIN FREE STATE PROVINCE (7SI OR 6SI PE)",18/02/2022,[object Object]
Services to buildings and landscape activities,PROVISION OF WEEDSPRAYING SERVICES IN RAIL YARDS AND OTHER AREAS AT TNPA PORT OF RICHARDS BAY FOR A PERIOD OF 36 MONTHS,18/02/2022,[object Object]
"Water collection, treatment and supply","SUPPLY, DELIVERY AND INSTALLATION OF 3 X AUTO TITRATION SYSTEM AT ZUIKERBOSCH WATER TREATMENT PLANT AND 1 X AUTO TITRATION AT ZWARTKOPJES PUMPING STATION.",18/02/2022,[object Object]
Accommodation,Test,18/02/2022,[object Object]
Services: General,Implementation of Solar Water Heaters in Selected Brownfield Facilities in Gauteng – Phase II,18/02/2022,[object Object]
Services: Professional,COMPILATION OF THE VALUATION ROLL AND SUPPLEMENTARY VALUATION ROLLS AND MAINTENANCE THEREOF FOR THE FINANCIAL YEARS STARTING 1 JULY 2022 TO 30 JUNE 2025,17/02/2022,[object Object]
Services: Professional,COMPILATION OF THE VALUATION ROLL AND SUPPLEMENTARY VALUATION ROLLS AND MAINTENANCE THEREOF FOR THE FINANCIAL YEARS STARTING 1 JULY 2022 TO 30 JUNE 2025,17/02/2022,[object Object]
Services: Functional (Including Cleaning and Security Services),PROVISION OF SECURITY SERVICES FOR: REGIONAL OFFICE& MLB (PMB) COST CENTRE PMB AND VULINDLELA; NOTTINGHAM RAOD; CAMPERDOWN; UMSHWATHI DEPOTS. ROAD TRAFFIC INSPECTORATE PMB (DLTC) &PTEU,17/02/2022,[object Object]
Services to buildings and landscape activities,"For the provision of appointment of property valuers for land and building plant, equipment and Machinery at ADHOC Basis for a period of 3 years",17/02/2022,01/01/1
Services: Electrical,FOR THE PROVISION THE MAINTENANCE OF STANDBY GENERATOR SETS IN THE PORT OF DURBAN FOR THE PERIOD OF THIRTY-SIX (36) MONTHS.,17/02/2022,[object Object]
Education,Project Management Course,17/02/2022,[object Object]
Supplies: General,Supply and Delivery of Diesel,17/02/2022,[object Object]
Services: General,"APPOINTMENT OF MULTIPLE SERVICE PROVIDERS FOR INSPECTION, MAINTENANCE & REPAIR OF THE DEPARTMENTAL EARTHMOVING EQUIPMENT FOR A PERIOD OF 36 MONTHS",17/02/2022,[object Object]
Services: General,Monthly maintenance of signage,17/02/2022,[object Object]
Education,Supervisory Management Programme,17/02/2022,[object Object]
Repair and installation of machinery and equipment,"UPGRADE OF FIRE SPRINKLER SYSTEMS, HYDRANTS SYSTEMS AND FOAM BLADDER TANKS REPLACEMENT PROJECT AT THE O.R. TAMBO INTERNATIONAL AIRPORT",17/02/2022,[object Object]
Services: Professional,Service of an specialist for the installation of CCTV system is required for the Afrikaans Language Museum and - Monument,17/02/2022,[object Object]
Civil engineering,"Addendum to : (Closing date extension): The Supply, installation, and commission of 2 damping reactors, approximately 250 capacitor units, 2 neutral VT’s, 8 neutral capacitor units and associated conductor cabling for East Grid (KZN), Transmission Division for a period of 24 months.",17/02/2022,[object Object]
Services: Professional,APPOINTMENT OF A SERVICE PROVIDER TO FACILITATE ACCESS TO MARKETS FOR KZN BLACK OWNED MANUFACTURERS OF NATURAL HAIR AND BEAUTY PRODUCTS,17/02/2022,[object Object]
Services: Professional,APPOINTMENT OF A SERVICE PROVIDER FOR THE DEVELOPMENT AND IMPLEMENTATION OF THE ENTERPRISE DEVELOPMENT PHASE FOR THE EMERGING DESIGNERS RETAIL PROGRAMME.,17/02/2022,[object Object]
Activities of head offices; management consultancy activities,APPOINTMENT OF A SERVICE PROVIDER FOR THE EVALUATION OF ICASA’S STRATEGIC PLAN 2015/16 – 2019/20 AND COVID – 19 INTERVENTIONS FOR A PERIOD OF 12 MONTHS.,17/02/2022,[object Object]
"Other professional, scientific and technical activities",APPOINTMENT OF A SERVICE PROVIDER TO COMPLETE AN ORGANISATIONAL DESIGN STUDY FOR A PERIOD OF EIGHT (8) MONTHS,17/02/2022,[object Object]
Disposals: General,DEMOLISH OF 10 CALTEX TANKS,16/02/2022,[object Object]
Disposals: General,PROCUREMENT AND REMOVAL OF ANIMALS AT THE PetroSA GTL REFINERY NATURE RESERVE,16/02/2022,[object Object]
Printing and reproduction of recorded media,Asset Count and Tagging Services for 31 March 2022 Reporting,16/02/2022,[object Object]
Services: Professional,REMOVAL /CLEANING OF TANK 75TK019D AT VOORBAAI TANK FARM,16/02/2022,[object Object]
Other service activities,Appointment of a Service Provider to Supply and Install an Access Control System with time and attendance for the W&RSETA Head Office and Provincial Offices,16/02/2022,[object Object]
Specialised construction activities,"PROVISION OF ENGINEERING DESIGN, BOREHOLE DRILLING AND CONSTRUCTION MONITORING OF NTABANKULU BOREHOLE DEVELOPMENT",16/02/2022,[object Object]
Services: Professional,ACTUARIAL VALUATION OF EMPLOYEE BENEFITS AND DETERMINATION OF PROVISION FOR REHABILITATION AND CLOSURE OF LANDFILL SITE,16/02/2022,[object Object]
Services: Professional,REQUEST FOR QUOTATION (RFQ): INTERNAL AUDIT SERVICES AT OVERBERG WATER BOARD FOR A PERIOD OF 12 MONTHS,16/02/2022,[object Object]
Disposals: General,DISPOSAL OF METAL SCRAPS,16/02/2022,[object Object]
Services: Professional,"APPOINTMENT OF THE SUITABLE PROJECT MANANGEMENT COMPANIES TO RENDER PROJECT MANAGEMENT SERVICES TO THE DEPARTMENT OF FORESTRY, FISHERIES AND THE ENVIRONMENT FOR THE MUNICIPAL CLEANING PROGRAMME WITHIN THE NINE (09) PROVINCES IN SOUTH AFRICA FOR A PERIOD OF SIX (06) MONTHS.",16/02/2022,[object Object]
Advertising and market research,Online Tourism Sentiment Measurement,15/02/2022,[object Object]
Services: Professional,APPOINTMENT OF A SERVICE PROVIDER TO CONDUCT MENTORSHIP IN FINANCIAL MANAGEMENT,15/02/2022,[object Object]
Advertising and market research,Online Tourism Sentiment Measurement,15/02/2022,[object Object]
Advertising and market research,Online Tourism Sentiment Measurement,15/02/2022,[object Object]
Supplies: General,Supply and delivery of petrol(ARC-ITSC) Nelspruit Mbombela,15/02/2022,[object Object]
Legal and accounting activities,"Appointment of legal practitioner/ legal firms to render investigative, representation services and labour relations issues for a period of three (3) years.",15/02/2022,[object Object]
"Waste collection, treatment and disposal activities; materials recovery",Appointment Of A Panel Of Service Providers For The Supply And Delivery Of Sanitation Network Material For A Period Of 12 Months,15/02/2022,[object Object]
Activities auxiliary to financial service and insurance activities.,PROVISION FINANCIAL RISK MANAGEMENT ANALYTICS SOFTWARE MAINTENANCE AND SUPPORT,15/02/2022,[object Object]
Information service activities,"CANCELLATION LETTER , PROVISION OF A LATEST INDUSTRY STANDARD TRANSLATION SOFTWARE, WHICH INCLUDES MAINTENANCE AND SUPPORT FOR 5 YEARS, PROFESSIONAL SERVICES: INSTALLATION, CONFIGURATION, TRAINING, AND IDENTITY ACCESS MANAGEMENT INTEGRATION FOR ON PREMISE SOLUTION",15/02/2022,01/01/1
Information service activities,"CANCELLATION LETTER , PROVISION OF A LATEST INDUSTRY STANDARD TRANSLATION SOFTWARE, WHICH INCLUDES MAINTENANCE AND SUPPORT FOR 5 YEARS, PROFESSIONAL SERVICES: INSTALLATION, CONFIGURATION, TRAINING, AND IDENTITY ACCESS MANAGEMENT INTEGRATION FOR ON PREMISE SOLUTION",15/02/2022,01/01/1
Information and communication,"CANCELLATION LETTER OF A LATEST INDUSTRY STANDARD TRANSLATION SOFTWARE, WHICH INCLUDES MAINTENANCE AND SUPPORT FOR 5 YEARS, PROFESSIONAL SERVICES: INSTALLATION, CONFIGURATION, TRAINING, AND IDENTITY ACCESS MANAGEMENT INTEGRATION FOR ON PREMISE SOLUTION",15/02/2022,01/01/1
Information and communication,APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE THE DESKTOP AND LOCAL AREA NETWORK (LAN) SUPPORT SERVICES FOR THIRTY-SIX (36) MONTHS.,15/02/2022,[object Object]
Security and investigation activities,APPOINTMENT OF A CONSULTANT FOR THE CLOSE CIRCUIT TELEVISION (CCTV) SYSTEMS ON BEHALF OF THE KZN LEGISLATURE’S SECURITY SYSTEMS INFRASTRUCTURE FOR SIX (6) MONTHS.,15/02/2022,[object Object]
"Computer programming, consultancy and related activities",APPOINTMENT OF A SERVICE PROVIDER FOR THE IMPLEMENTATION OF THE ENTERPRISE RESOURCE PLANNING (ERP) FOR NINE (9) MONTHS AND SUPPORT AND MAINTENANCE FOR THIRTY-SIX (36) MONTHS.,15/02/2022,[object Object]
Construction,EMERGENCY SERVICES FOR THE ROUTINE ROAD MAINTENANCE OF NATIONAL ROUTE 2 SECTION 5 TO 8 BETWEEN RIETKUIL OUTSPAN (KM26.55) AND NATURES VALLEY (KM80.85),15/02/2022,[object Object]
Telecommunications,To Maintain and Support Sasria’s Avaya Unified Communication Solution,15/02/2022,[object Object]
Services: Professional,"To appoint a suitably qualified service provider to register trademarks and domain names, renew domain names, monitor and report on trademark infringements and provide trademarks related legal advisory services for 36 (thirty-six) months - ( 3 years).",15/02/2022,[object Object]
Administrative and support activities,BRAND CAMPAIGNS FOR SABC RADIO STATIONS,15/02/2022,01/01/1
Construction of buildings,FOR THE UPGRADE AND THE EXTENSION OF PORT CONTROL TOWER BUILDING IN THE PORT OF RICHARDS BAY,15/02/2022,[object Object]
Education,Training on Business Writing Skills for Function and Purpose,15/02/2022,[object Object]
Architectural and engineering activities; technical testing and analysis,REQUEST FOR PROPOSAL TO APPOINT A SERVICE PROVIDER TO UNDERTAKE AN AGRICULTURAL PILOT STUDY FOR THE DEVELOPMENT OF MARULA TREE ORCHARDS,14/02/2022,[object Object]
Construction,"CONSTRUCTION OF NDINDINDI PRIMARY SCHOOL, NKOMAZI LOCAL MUNICIPALITY, MPUMALANGA PROVINCE",14/02/2022,[object Object]
"Professional, scientific and technical activities",APPOINTMENT OF A SERVICE PROVIDER TO CONDUCT AN ASSESSMENT AND DEVELOPMENT OF INFORMATION AND CYBER SECURITY ISO/IEC 27001 STANDARDS FOR A PERIOD OF 15 MONTHS,14/02/2022,[object Object]
"Creative, arts and entertainment activities",REQUEST FOR PROPOSALS FOR THE PROVISION OF GENERAL CORPORATE VIDEOGRAPHY SERVICES FOR AIRPORTS COMPANY SOUTH AFRICA FOR A PERIOD OF 1 YEAR.,14/02/2022,[object Object]
Supplies: General,Supply and delivery of Gardening equipment,14/02/2022,[object Object]
Supplies: General,SUPPLY AND DELIVERY OF SEVEN (7) DIGITAL THERMOMETERS INFRARED NON CONTACT,14/02/2022,[object Object]
"Computer programming, consultancy and related activities","REQUEST FOR PROPOSAL TO INVITE POTENTIAL SERVICE PROVIDERS FOR NETWORK, END-USER DEVICES AND RELATED APPLICATION AND SECURITY SERVICES.",14/02/2022,[object Object]
Supplies: General,Supply and Delivery of Tractors and implements at Eiland Research Station,12/02/2022,[object Object]
Supplies: General,Supply and Delivery of Tractors and Implements at Voordekop Vineyard Farm,12/02/2022,[object Object]
Services: Professional,APPOINTMENT OF A CREDIBLE AND ACCREDITED BIDDER TO CONDUCT THE LIFESTYLE AUDITS FOR TWENTY-SIX (26) GAUTENG PROVINCIAL GOVERNMENT SENIOR MANAGEMENT OFFICIALS FOR A PERIOD OF 12 MONTHS,11/02/2022,[object Object]
Services: Professional,SUPPLY AND DELIVERY OF NORMAL FOOD PARCELS AND CLEANING MATERIALS FOR A PERIOD OF 24 MONTHS,11/02/2022,[object Object]
Supplies: Computer Equipment,SUPPLY AND DELIVERY OF SIXTY (60) COMPUTERS AT MOUNT FRERE CAMPUS.,11/02/2022,[object Object]
Rental and leasing activities,RE-ADVERTISEMENT:PROVISION FOR LEASING OF NEW MULTI-FUNCTIONING PHOTOCOPYING MACHINES FOR PERIOD OF 36 MONTHS,11/02/2022,[object Object]
Services: Professional,"The appointment a service provider to conduct ex-ante economic impact assessments (price and macro- economic models) of tariff / price increase applications received from Electricity, Piped-Gas and Petroleum Pipelines licensees for five (5) years.",11/02/2022,[object Object]
Supplies: General,"APPOINTMENT OF A SERVICE PROVIDER TO PRINT, SUPPLY AND DELIVER BALLOT PAPERS, SUPPLY AND DELIVER BALLOT BOOTHS, BALLOT BOXES, INDELIBLE INK, REFLECTIVE BIBS AND TAMPER PROOF SAFETY SEALS FOR WARD COMMITTEE ELECTIONS IN MARCH 2022 FOR THE CITY OF JOHANNESBURG",11/02/2022,[object Object]
Other service activities,APPOINTMENT OF A SERVICE PROVIDER FOR THE PROVISION OF MICROSOFT AZURE CLOUD HOSTING & REMOTE SERVER BACKUP FOR A PERIOD OF TWENTY-FOUR (24) MONTHS.,11/02/2022,[object Object]
Scientific research and development,REQUEST FOR PROPOSALS TO CONDUCT STUDIES ON THE CASES OF MUNICIPAL BOUNDARY REDETERMINATIONS FOR THE MUCNICIPAL DEMARCATION BOARD(MDB),11/02/2022,[object Object]
Services: Electrical,SUPPLY AND DELIVERY OF ELECTRICAL ARC FLASH AND BURNING INSULATING OIL PROTECTIVE SUITS AND ASSOCIATED CLOTHING,11/02/2022,[object Object]
Construction,"Appointment of a contractor for the construction of walkways and storm-water control system at Western College TVET Randfontein Campus in Randfontein, Gauteng",11/02/2022,[object Object]
Construction,Appointment of a service provider for upgrading of Clarens water treatment works: Civil and building works part A: site and concrete works. (DRAWINGS),11/02/2022,[object Object]
Construction,REPLACEMENT OF THE CARRIER CHILLER,11/02/2022,[object Object]
Supplies: General,"THE SUPPLY AND DELIVERY OF THREE INDUSTRIAL VALVE GRINDER MACHINES, TWO METEOR TEST BENCHES AND TOOLS FOR KOEBERG OPERATING UNIT",11/02/2022,01/01/1
Services: General,"PROVISION OF HVAC&R (HEATING, VENTILATION, AIR-CONDITIONING & REFRIGERATION) SERVICES FOR NON-PLANT SYSTEMS FOR A PERIOD OF 5 (FIVE) YEARS AT KOEBERG OPERATING UNIT (KOU)",11/02/2022,01/01/1
"Waste collection, treatment and disposal activities; materials recovery","PROVISION OF A SERVICE FOR THE REMOVAL OF GALLEY WASTE WITHIN THE PORT OF CAPE TOWN FOR A PERIOD OF SIX (6) MONTHS FOR THE TRANSNET NATIONAL PORTS AUTHORITY FOR THE PORT OF CAPE TOWN, (HEREAFTER REFERRED TO AS TNPA)",11/02/2022,[object Object]
Services: Professional,"PROFESSIONAL SERVICES: DESIGN AND TENDER DOCUMENTATION: DIVERSION WEIR, PUMP STATION AND DETENTION POND, NKQUBELA",11/02/2022,[object Object]
Supplies: General,"TBH 219/2021: FOR THE SUPPLY, DELIVERY AND INSTALLATION OF 20 X 5 TIER RACKS WITH 100 STAINLESS STEEL SHELVES AND 26 STAINLESS STEEL UPRIGHTS AT TYGERBERG HOSPITAL",10/02/2022,[object Object]
"Electricity, gas, steam and air conditioning","The splicing, repair of damaged conveyor belts and the re-lagging of pulleys at Tutuka Power Station, on an “as and when required basis” for a period of 60 months",10/02/2022,[object Object]
Supplies: Medical,Outright Purchase of Medium Speed Centrifuge and Rotor with five years’ service and maintenance contract,10/02/2022,[object Object]
Services: Professional,APPOINTMENT OF A SERVICE PROVIDER TO ADVISE THE REGULATING COMMITTEE IN THE ISSUANCE OF PERMISSIONS TO LEVY AIRPORT AND AIR TRAFFIC SERVICE CHARGES FOR AIRPORTS COMPANY SOUTH AFRICA (ACSA) AND AIR TRAFFIC AND NAVIGATION SERVICES (ATNS) FOR THE PERIOD OF 2021/22 – 2025/26,10/02/2022,01/01/1
