category,tenderNumber,description,advertised,closing,cancelled,AI_Related,AI_Reason
"Electricity, gas, steam and air conditioning",E1707NTCSAMWP,"North Grid Aircons Replacement Project - Replace, supply, installation and commissioning of 194 air conditioners (Limpopo Province 81 air conditioners and North West Province 113 air conditioners) at the following substations: Acornhoek SS, Foskor SS, Leseding SS, Merensky SS, Senakangwedi SS, Spencer SS, Tabor SS, Witkop SS, Ararat SS, Bighorn SS, Carmel SS, Dinaledi SS, Hermes SS, Marang SS, Midas SS and Trident SS for a period of 9 (nine) months.",13/08/2025,22/09/2025,,,
Construction,DWS12-0825 WTE,"PIPE-JACKING/ HORIZONTAL DRILLING ON NATIONAL ROADS, RAILWAYS CROSSING AND WATER COURSES FOR SENEKAL BUCKET ERADICATION PROJECT FOR CONSTRUCTION WEST IN THE FREE STATE CIDB GRADING 4CE OR 4SC OR HIGHER FOR A PERIOD OF ONE YEAR",13/08/2025,07/10/2025,,,
Services: General,E1488GXGPLET,MAINTENANCE AND REPAIRS OF ELECTROSTATIC PRECIPITATORS (ESP) DURING RUNNING AND OPPORTUNITY MAINTENANCE AT LETHABO POWER STATION FOR A PERIOD OF FIVE (5) YEARS.,12/08/2025,26/09/2025,,,
Food and beverage service activities,RCCH13/2025,FOR THE SUPPLY AND DELIVERY OF DRY GOODS & STAPLES FOR A THREE (3) YEAR PERIOD AT RED CROSS WAR MEMORIAL CHILDREN’S HOSPITAL,12/08/2025,19/09/2025,,,
Civil engineering,E1700NTCSAMWP,Underground Water Monitoring System at Esselen Substation for a period of 12 months.,12/08/2025,19/09/2025,,,
"Insurance, reinsurance and pension funding, except compulsory social security",RFP 004/2025,Appointment of a service provider for the Provision of Short-Term Insurance Services for 3 Years (Movable Assets),12/08/2025,19/09/2025,,,
Services: General,32699-6W,"Supply, delivery and installation of static waste compactor and all associated auxiliaries for Umlazi Transfer Station and Electron Road Transfer Station refurbishments",11/08/2025,03/10/2025,,,
Services: General,31844(5E),"Supply, delivery and off-loading of medium voltage cable joint and termination kits during a 36-month period",11/08/2025,26/09/2025,,,
Services: Electrical,BID-2602S,BID-2602: Maintenance and Commissioning of Protection Power Systems.,11/08/2025,19/09/2025,,,
Supplies: Electrical Equipment,E1461GXMPHEN,"Supply and Delivery of Lift Spares on an ""as and when required"" at Hendrina Power Station (Materials Management Department) for a period of 5 years.",11/08/2025,19/09/2025,,,
Disposals: General,E1483DISGP,"for Purchase and removal of used transformer oil in the Gauteng Operating Unit – Distribution , ERI and Transmission for a contract period of 36 months (3 years) on a “As and When” required basis",11/08/2025,22/09/2025,,,
Services: Professional,048/2025/EWSS/VETTING/RFB,APPOINTMENT OF A SERVICE PROVIDER FOR THE PROVISION OF A SUPPLIER VETTING SOLUTION FOR A PERIOD OF 36 MONTHS.,11/08/2025,25/09/2025,,,
Construction,SCMU5-25/26-0057,EXPRESSION OF INTEREST FOR CONTRACTORS THAT ARE MILITARY VETERANS AND PERSONS WITH DISABILITIES ONLY TO PARTICIPATE IN THE INTEGRATED CONTRACTOR DEVELOPMENT PROGRAMME (ICDP) OF THE DEPARTMENT OF PUBLIC WORKS & INFRASTRUCTURE AND HUMAN SETTLEMENT (DPWI & HS) FOR A PERIOD OF THREE (3) YEARS.,11/08/2025,23/09/2025,,,
"Financial service activities, except insurance and pension funding",FIN03/2025,GENERAL VALUATION AND PREPARATION OF A VALUATION ROLL FOR IMPLEMENTATION 1 JULY 2027 AND PREPARATION AND UPDATING OF THE VALUATION ROLL FOR THE PERIOD 1 JULY 2027 TO 30 JUNE 2032,11/08/2025,07/10/2025,,,
Disposals: General,E1671DX MWP,Eskom Renewable Energy Offtake Commissioned in phases – 291MW Solar PV Capacity,11/08/2025,24/10/2025,,,
Services: Professional,28C/2025/26,"For The Provision Of Professional Services In Respect Of Combined Final Design, Installation, Testing, Commissioning And Maintenance Of The Advanced Public Transport Management System(Aptms) And Automated Fare Collection (Afc) System On Buses, Stations And In The Transport Management Centre And Other Related Services From The Commencement For Three Years",08/08/2025,25/09/2025,,,
Services: Electrical,26Q/2025/26,"TERM TENDER FOR DESIGN, MANUFACTURE, SUPPLY, DELIVERY TO SITE, OFF-LOADING, INSTALLATION, TESTING, COMMISSIONING AND MAINTENANCE OF 66 (72,5) KV AND 132 (145) KV OUTDOOR SWITCHGEAR, ASSOCIATED EQUIPMENT AND CIVIL WORKS",08/08/2025,01/10/2025,,,
Supplies: General,E1696GXMPKRI,"SUPPLY AND DELIVERY OF VARIOUS TYPES OF BOLTS, NUTS AND WASHERS AT KRIEL POWER STATION ON AN “AS AND WHEN” REQUIRED BASIS FOR THE PERIOD OF 5 YEARS.",08/08/2025,19/09/2025,,,
Scientific research and development,NRF ILABS WI53/05/2025-26,"SUPPLY AND INSTALLATION OF AN ELECTRONIC QUALITY MANAGEMENT SYSTEM (EQMS) FOR THE NUCLEAR MEDICINE DEPARTMENT, ITHEMBA LABS, CAPE TOWN.",08/08/2025,19/09/2025,,,
Services: Professional,E1695CXMWP,GAS STUDY MODEL FOR A PERIOD OF FOUR (4) MONTHS,08/08/2025,19/09/2025,,,
Construction,NRA 2025/0143,"PROVISION OF A CONTRACTOR FOR THE RESURFACING ON NATIONAL ROAD R33 SECTION 12 FROM N11 INTERSECTION (KM 0,0) TO N1 (KM 77,0)",08/08/2025,30/09/2025,,,
Real estate activities,ECDC/ELN/418/082025,"PROVISION OF PROPERTY MANAGEMENT SERVICES ON SELECTED ECDC PROPERTIES IN MTHATHA, BUTTERWORTH, AND EAST LONDON AREAS FOR THREE YEARS COMMISSION BASED CONTRACT",08/08/2025,29/09/2025,,,
Other manufacturing,E1665NTCSAMWP,"THE DEVELOPMENT, MANUFACTURING, TESTING, TRAINING, SUPPLY, DELIVERY, OFF-LOADING AND INSTALLATION/SITE ERECTION OF PHASE 6 PHASOR MEASUREMENT UNIT SCHEMES FOR USE IN NTCSA, ON AN “AS AND WHEN REQUIRED” BASIS OVER A PERIOD OF FIVE (5) YEARS WITH AN OPTION TO EXTEND WITH ANOTHER FIVE (5) YEARS.",08/08/2025,21/10/2025,,,
Advertising and market research,KNP-014-23; KNP-016-23; KNP-002-24A; KNP-009-24A;,EXTENSION OF TENDER VALIDITY PERIOD : KNP-014-23; KNP-016-23; KNP-002-24A; KNP-009-24A; KNP-010-24A; KNP-015-23; KNP-016-24A; KNP-017-24; KNP-018-24; KNP-019-24A; KNP-020-24A; KNP-021-24A; KNP-022-24A; KNP-023-24A; KNP-024-24; KNP-026-24.,07/08/2025,30/09/2025,,,
Construction,NRA 2025/0118,THE RESURFACING OF NATIONAL ROAD 1 SECTION 20 FROM MISGUND TO 14th AVENUE INTERCHANGE,07/08/2025,19/09/2025,,,
Services: Professional,KCDM.11.2025,TENDER FOR THE PROVISION OF BANKING SERVICES FOR THE KING CETSHWAYO DISTRICT MUNICIPALITY FOR THE PERIOD 01 JULY 2026 TO 30 JUNE 2031 (60 MONTHS ),07/08/2025,08/10/2025,,,
Services: Electrical,E1692GXMPKRI,Cable Maintenance at Kriel Power Station for a period of (5) five years,07/08/2025,13/10/2025,,,
Supplies: General,E1688GXMPMAJ,Supply and delivery of Microbiology Consumables for Chemical Services,07/08/2025,25/09/2025,,,
Repair and installation of machinery and equipment,DTP/RFP/07/AGZ/07/2025,Appointment of a contractor for once-off repair work of the Dube Agrilab greenhouse hardening facility,06/08/2025,19/09/2025,,,
"Other professional, scientific and technical activities",CGS 2025-007FM,"Appointment of a service provider for the provision of an engineering design and execution of a proposed pilot-scale anthropogenic carbon dioxide injection well and associated infrastructure for a period of twenty-four months, in South Africa, Mpumalanga Province, Goven Mbeki Municipality.",05/08/2025,15/10/2025,,,
Construction,NRA 2025/0319,THE RESURFACING OF NATIONAL ROUTE N17 SECTION 02 AND SECTION 03 FROM R29/SPRINGS (KM 38.7) TO R50/LEANDRA I/C (KM 7.9),05/08/2025,17/10/2025,,,
Information and communication,E1635CXMWP,The Komati Water Scheme SCADA Upgrade project aims to address system hardware and software obsolescence as well as operating limitations currently being experienced because of compatibility between the SCADA and Remote Terminal Units (RTU’s). The project presents an opportunity to comply with the latest Eskom standards for control systems and cyber security which is included in the works.,05/08/2025,01/10/2025,,,
"Electricity, gas, steam and air conditioning",E1654NTCSAMWP,"THE DESIGNING, MANUFACTURING, TESTING AT WORKS, SHIPMENT, TRANSPORTATION, ERECTION ON SITE, COMMISSIONING OF AIR-CORE REACTORS AND SURGE CAPACITORS ON AN “AS AND WHEN REQUIRED” BASIS FOR PERIOD OF THREE (3) YEARS FOR NTCSA.",05/08/2025,10/10/2025,,,
Manufacture of electrical equipment,E1463NTCSAMWP,"The manufacture, supply, testing, delivery and offloading of estimated quantities of Line Matching Equipment on an “as and when required” basis over a 5 year period.",05/08/2025,25/09/2025,,,
Services: General,E1634GXLPMED,Provision of Consolidated Building Management Systems maintenance services at Medupi Power Station for a period of 5 years.,04/08/2025,22/09/2025,,,
Specialised construction activities,JW13987,Northern wastewater treatment works (NWWTW): expansion of capacity unit 5 – installation of mechanical and electrical equipment,04/08/2025,03/10/2025,,,
Specialised construction activities,JWOPS006/25,Supply; delivery and offloading of fabricated steel pipes and fittings on an “as and when” required basis for a period of thirty-six (36) months.,04/08/2025,19/09/2025,,,
Scientific research and development,E1676CXRTD,Request to obtain information about the Forward Osmosis technology for the treatment of Wastewater for re-use.,04/08/2025,22/09/2025,,,
Services: Functional (Including Cleaning and Security Services),NC113Validity,Tender validity extension for tender number NC113. This is NOT a new tender,01/08/2025,30/09/2025,,,
Civil engineering,E1630NTCSAMWP,CIVIL WORKS FOR ARARAT SHUNT CAPACITOR BANKS,01/08/2025,01/10/2025,,,
Rental and leasing activities,NDWP 02/25/26,Proposals for high-density residential within Ndwedwe town lease and development,01/08/2025,30/09/2025,,,
Services: Professional,E1643CXMWP,Conditioning Monitoring Professional Services for a period of 5 years.,01/08/2025,23/09/2025,,,
Construction,NRA 2024/1381,THE PROVISION OF WORK CONSTRUCTION SERVICES FOR THE UPGRADE ON NATIONAL ROUTE N2 SECTION 18 BETWEEN VIEDGESVILLE (KM 65.6) AND MTHATHA (KM 85.0) FOR A PERIOD OF FIFTY-THREE (53) MONTHS INCLUDING FIVE (5) MONTHS MOBILISATION,01/08/2025,16/10/2025,,,
Services: Professional,E1678CXMWP,Request for Information on Commercially Available Oil Filtration Systems for Hydrogen Gas Dryers,01/08/2025,31/10/2025,,,
Scientific research and development,E1675CXRTD,Request for Information on the Ultra-High Purity Reverse Osmosis Technology for the treatment of Wastewater for reuse,01/08/2025,19/09/2025,,,
Construction,ZNB02539/00000/00/POR/INF/24/T.,PROVISION OF MAINTENANCE ON VARIOUS ROADS OVER A PERIOD OF 36 MONTHS WITHIN RAY NKONYENI ZONE 2 UNDER COST CENTRE PORT SHEPSTONE IN THE DURBAN REGION - CIDB GRADE 8 or higher,01/08/2025,22/09/2025,,,
"Electricity, gas, steam and air conditioning",E1589GXNOU,"For Eddy Current In-Service Inspection services on Steam Generator tubes during Outages 227, 228, 129 and 229 and on an as and when required basis at Koeberg Operating Unit",01/08/2025,02/10/2025,,,
Services: Professional,SCM 02/2026,"SALE OF LAND: ERVEN 64 AND 65, NELSPOORT",01/08/2025,03/10/2025,,,
Civil engineering,SC2585/2025,Upgrading of Onrus Main Sewerage Pumpstation,01/08/2025,19/09/2025,,,
Supplies: Clothing/Textiles/Footwear,E1591GXMPCAM,The supply and delivery of various PPE products for a period of 60 months at Camden power Station.,31/07/2025,26/09/2025,,,
Disposals: General,RFP/01/2025-26,"SUPPLY,INSTALLATION,COMMISSIONING, MAINTENANCE AND SUPPORT FOR AN INTEGRATED FINANCIAL MANAGEMENT SYSTEM FOR A PERIOD OF (3) YEARS",31/07/2025,30/09/2025,,,
Services: General,MWP2885DX-Tender Validity2,Tender validity extension for provision of hiring of 50 ton to 550-ton mobile cranes service over a period of 3 years on an “as and when” required basis within Distribution Gauteng Cluster.,31/07/2025,30/09/2025,,,
Construction,Letter to Extend Validity Period _MWP1662TX-R(3)),Letter to extend validity_MWP1662TX-R:Provision for the framework agreement for Recovery of Transmission Lines and stabilisation of towers including adhoc urgent activities for Transmission lines,31/07/2025,30/09/2025,,,
Construction,NRA 2025/0133,CONSTRUCTION OF A ROUNDABOUT AT THE JUNCTION R71/2 AND ROAD D978 EAST OF TZANEEN,31/07/2025,19/09/2025,,,
Services: General,MWP2566TX_Letter to extend validity(4),Letter to extend validity_MWP2566TX:The provision of pest control services at Apollo and CS Grid for a period of 5 years,31/07/2025,30/09/2025,,,
Services: General,Letter-MWP2566TX_Letter to extend validity(4),Letter to extend validity_MWP2566TX:The provision of pest control services at Apollo and CS Grid for a period of 5 years,31/07/2025,30/09/2025,,,
Construction,ZNB02538/00000/00/POR/INF/24/T,PROVISION OF MAINTENANCE ON VARIOUS ROADS OVER A PERIOD OF 36 - MONTHS WITHIN RAY NKONYENI ZONE 1 UNDER COST CENTRE PORT SHEPSTONE IN THE DURBAN REGION- CIDB GRADE 8 or higher,31/07/2025,30/09/2025,,,
Other service activities,E1663DXLPR,The supply and delivery of various production working tools within the Limlanga Cluster on an “as and when” required basis for a period of 05 years Re-issue.,31/07/2025,13/10/2025,,,
Manufacture of textiles,E1620GXN,"THE MANUFACTURE, SUPPLY AND DELIVERY OF PULSE JET FABRIC FILTER BAGS FOR VARIOUS COAL FIRED POWER STATIONS ON “AN AND WHEN” REQUIRED BASIS FOR A CONTRACT PERIOD 0F FIVE (5) YEARS.",31/07/2025,01/10/2025,,,
Services: Electrical,MPKUS11394GXREGRET,Installation of Additional Lights at Kusile Power Station for the Period of Six Months,30/07/2025,30/09/2025,,,
Construction,TENDER VALIDITY MWP2606DX,TENDER VALIDITY LETTER:THE PROVISION OF MAJOR DISTRIBUTION NETWORKS FOR CONTRACTORS WITHIN GAUTENG CLUSTER TO ESTABLISH MULTIPLE CONTRACTS ON “AN AS AND WHEN REQUIRED” BASIS FOR A PERIOD OF 36 MONTHS,30/07/2025,30/09/2025,,,
"Electricity, gas, steam and air conditioning",NC071R Cancel,Cancellation of tender NC071R (Evaluation and Award to a Successful Bidder for the Successful Proposal that meet Functional Specification for Distribution STATCOM),30/07/2025,31/10/2025,,,
Financial and insurance activities,SLM 32/2025,APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR THE EXPRESSION OF INTEREST (EOI) FOR INVESTMENT ATTRACTION AND PARTNERSHIP,30/07/2025,19/09/2025,,,
Construction,NRA 2024/1410,PERIODIC MAINTENANCE ON NATIONAL ROUTE 21X FROM STAFFORDS POST (KM44.3) TO HARDING (KM 60.1),30/07/2025,29/09/2025,,,
Construction,NRA2024/1409,PERIODIC MAINTENANCE ON NATIONAL ROUTE 2 SECTION 21X FROM HARDING (KM 60.1) TO IZINGOLWENI (KM 102.0),30/07/2025,29/09/2025,,,
Manufacture of electrical equipment,RFP11-2025,"Appointment of a Panel of Service Provider's for the Supply, Maintenance and Support of Non-intrusive Inspection Scanning and Detection Solution.",30/07/2025,07/10/2025,,,
"Professional, scientific and technical activities",ID(PMU)03/07/2526,"APPOINTMENT OF A PANEL OF PROFESSIONAL SERVICE PROVIDERS: • Civil/Structural engineering • Mechanical Engineering • Electrical Engineering • Architect Consultants • Environmental Consultants • Occupational Health and Safety Consultants • Land Surveyors • Transport Engineers • Geologists • Project Management Consultants For A Period Of Three Years, As And When Required.",29/07/2025,23/09/2025,,,
Services: Professional,E1610CXMWP,Procurement of Feeder Balancing Module Tool Implementation with Maintenance and Support for a period of six and a half (6.5) years,29/07/2025,07/10/2025,,,
Services: General,VALIDITY EXT LP00202AB,LETTER TO EXTEND VALIDITY EXTENSION TO ALL TENDERERS WHO PARTICIPATED ON THE PROVISION OF CLEANING AND GARDENING SERVICE (POLOKWANE AND LEPHALALE CLN) FOR A PERIOD OF SIXTEEN MONTHS,29/07/2025,30/09/2025,,,
Other service activities,E1191GXMPKRI,PLEASE NOTE THAT THE TENDER CLOSING DATE HAS BEEN EXTENDED UNTIL: 01/10/2025. SUPPLY OF PUMP SHOP PERSONNEL RESOURCES AT KRIEL POWER STATION FOR A PERIOD OF 3 YEARS.,29/07/2025,01/10/2025,,,
Services: General,E1626GXLPMAT,REPLACEMENT OF FIRE PUMP AT MATIMBA POWER STATION,29/07/2025,02/10/2025,,,
"Electricity, gas, steam and air conditioning",DEE/001/2025/26,REQUEST FOR PRE-QUALIFICATION FOR NEW ELECTRICITY TRANSMISSION INFRASTRUCTURE CAPACITY UNDER THE FIRST BID SUBMISSION PHASE OF THE INDEPENDENT TRANSMISSION PROJECTS PROCUREMENT PROGRAMME (ITP PROCUREMENT PROGRAMME),29/07/2025,23/09/2025,,,
"Electricity, gas, steam and air conditioning",NC097Validity,Tender validity extension for tender number NC097. Please note that this is a validity extension and NOT a new tender.,28/07/2025,31/10/2025,,,
"Electricity, gas, steam and air conditioning",MWP2781CXAWARD,"Regret Letter : The procurement of Transaction Advisory Services to Eskom, in respect of the development and procurement of the Richards Bay Gas Fired Combined Cycle Power Plant Project as a Private Sector Participation (PSP) Project, for a period of (24) month",28/07/2025,31/12/2025,,,
Manufacture of chemicals and chemical products,E1614GXMPHEN,Supply and Delivery of Biocide Chemical for Cooling water System as and when Required for 5 Years at Hendrina Power Station.,28/07/2025,19/09/2025,,,
Construction,16-2024 Intention to Award,Intention to Appoint RFP 06-2024 attached.,28/07/2025,28/10/2025,,,
Services: Building,E1346DXGPBidders,"Bidders List for the provision of a new covered storage facility at Bronkhorstspruit and minor repairs at Matibestad, Mabopane, Mnandi, Stepdown CNC Brakpan and Ga-Rankuwa within Gauteng Cluster for the period of 18 months",26/07/2025,16/10/2025,,,
Services: Professional,S015/25,"FOUNDERS GARDENS ARTSCAPE PROJECT: PROCUREMENT OF A DEVELOPER AND SOCIAL HOUSING INSTITUTION FOR THE DELIVERY OF A RESIDENTIALLY LED, MIXED USE, MIXED INCOME HOUSING DEVELOPMENT INCORPORATING SOCIAL HOUSING UNITS",25/07/2025,29/10/2025,,,
Supplies: General,Validity MWP2006DX,"Provision of Manufacturing, supply and delivery of various Line hardware stock Items within Gauteng Cluster, over a period of 36 Months, on an “as and when” required basis.",25/07/2025,30/11/2025,,,
Services: General,NTCSA141525P,Presentations from the event held on 14th and 15th July (Monday and Tuesday) for NTCSA Lines Construction Contractor Network & Collaboration Forum,24/07/2025,28/11/2025,,,
Services: Electrical,MWP3060WB,"Design, supply, installation, commissioning, operation and maintenance of Solar PV plant with capacity of up to 72 MWp for Komati Power Station.",24/07/2025,30/09/2025,,,
Supplies: General,E1547GXMPMAT,Supply and Delivery of Gaskets for a period of five (5) years contract on as and when required basis for Matla Power Station,23/07/2025,30/09/2025,,,
Civil engineering,NRA 2025/0105,FOR CONSULTING ENGINEERING SERVICES FOR THE UPGRADE OF ACCESS ROADS IN THE VILLAGES OF ROSS MISSION AND NGCENGANE,23/07/2025,19/09/2025,,,
Civil engineering,NRA 2025/0103,CONSULTING ENGINEERING SERVICES FOR THE TRAINING AND CONSTRUCTION MANAGEMENT SERVICES FOR A COMMUNITY DEVELOPMENT PROJECT TO UPGRADE ACCESS ROADS AND STORMWATER SYSTEM IN AND AROUND KWAGGAFONTEIN A NEAR NATIONAL ROAD R573 SECTION 2 FROM KM 36.20 TO KM 48.00,22/07/2025,19/09/2025,,,
Civil engineering,NRA 2025/0104,"CONSULTING ENGINEERING SERVICES FOR THE TRAINING AND CONSTRUCTION MANAGEMENT SERVICES OF A COMMUNITY DEVELOPMENT PROJECT TO UPGRADE ACCESS ROADS AND STORMWATER SYSTEM IN AND AROUND MOLOTO, NEAR NATIONAL ROAD R573, SECTION 2 FROM -0.500 TO KM8.60",22/07/2025,19/09/2025,,,
Disposals: General,WCGHIC0008/2024,FRAMEWORK FOR MAINTENANCE OF HEALTH FACILITIES FOR WCGHW FOR A PERIOD OF THREE (3) YEARS,22/07/2025,26/09/2025,,,
