Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID
Supplies: Clothing/Textiles/Footwear,SCM/MOH/11/2025,Supply and Delivery of Personal Protective Equipment (PPE).,17/08/2025,03/10/2025,Mohokare Local Municipality,Request for Bid(Open-Tender),Free State,"Hoofd Street, Zastron, Zastron, 9950",N/A,Ms. Z Ncvenithwa,zoleka@mohokare.gov.za,073-608-1362,051-673-1550,Yes,Yes,,ZASTRON TOWN HALL,No,No,,
Services: Electrical,SCM/MOH/12/2025,Appointment of a service provider for prepaid vending system and third-party vending,17/08/2025,03/10/2025,Mohokare Local Municipality,Request for Bid(Open-Tender),Free State,"Hoofd Street, Zastron, Zastron, 9950",N/A,Mr. D Rannetla,rannetlad27@gmail.com,076-828-4069,051-673-1550,Yes,Yes,,ZASTRON TOWN HALL,No,No,,
Services: General,SCMU10-25/26-0014,"SUPPLY,DELIVERY AND PLACING OF PARKHOME STRUCTURES WITHIN KING SABATA DALINDYEBO, PORT ST JOHNS and INGQUZA HILL LOCAL MUNICIPALITIES",17/08/2025,19/09/2025,Eastern Cape - Transport,Request for Bid(Open-Tender),Eastern Cape,"Corner Owen and Leeds Road, botha Sigcawu building , Mthatha, Mthatha, 5099",N/A,ntomboxolo koko,ntomboxolo.koko@ectransport.gov.za,047-505-8801,047-505-2690,Yes,Yes,,; Botha Sigcau Building; Mthatha; 7th Floor; Boardroom 114,No,No,,
"Manufacture of fabricated metal products, except machinery and equipment",DWS10 0825 WTE,"MANUFACTURE, SUPPLY AND DELIVERY OF SECURITY FENCE AND GATES MATERIALS FOR NANDONI DAM NATIONAL KEY POINT PROJECT",16/08/2025,07/10/2025,Water and Sanitation,Request for Bid(Open-Tender),Limpopo,"Nandoni Dam, Thohoyandou, Thohoyandou, 0150",N/A,SCM Bid Office,bidenquirieswte@dws.gov.za,012-336-7780,N/A,Yes,Yes,,"Nandoni Dam, Limpopo",No,No,,
Construction,DWS11-0825 WTE,"MANUFACTURE, SUPPLY, DELIVERY AND INSTALLATION OF PRECAST BEAMS AND PARAPET WALLS INCLUDING PILING FOR THE ACCESS ROAD BRIDGE TO NANDONI DAM REMEDIAL ACTION PROJECT - ONLY RESPONDENTS WITH CIDB GRADING 7CE OR 7SJ OR HIGHER ARE ELIGIBLE TO BID",16/08/2025,09/10/2025,Water and Sanitation,Request for Bid(Open-Tender),Limpopo,"Nandoni Dam, Thohoyandou, Thohoyandou, 0150","When accessing the Dam Site for site inspection, Bidders are requested to wear the right protective clothing PPE.",Bid Office,bidenquirieswte@dws.gov.za,012-336-7780,N/A,Yes,Yes,,"DWS Office site, Nandoni Dam, Limpopo",No,No,,
Services: Professional,GT/GPT/029/2025,DATA ANALYSIS TOOL TO BE UTILISED BY THE INTERNAL AUDIT UNIT FOR A PERIOD OF 3 YEARS,15/08/2025,26/09/2025,Gauteng - Provincial Treasury,Request for Proposal,Gauteng,"Imbumba House, 75 Fox Street., Marshalltown, Johannesburg, 2017",MICROSOFT TEAMS MEETING LINK: https://teams.microsoft.com/l/meetup-join/19%3ameeting_NzYxMzY1YjQtYzk3ZS00YTc5LWJhNDItNWVlZWU5ZWUwM2Jm%40thread.v2/0?context=%7b%22Tid%22%3a%22003f7489-c006-4532-90f3-d1feadc0d1af%22%2c%22Oid%22%3a%22e4f8e34e-2761-4ba2-a80f-43ef02075dab%22%7d,Mpilonhle Buthelezi,MPILONHLE.BUTHELEZI@gauteng.gov.za,000-000-0000,000-000-0000,Yes,2025-08-29T11:00:00,,Microsoft Teams,No,No,,
Services: Electrical,31S/2025/26,"TERM TENDER FOR THE SUPPLY AND DELIVERY OF MAINTENANCE, REPAIR, UPGRADE AND REFURBISHMENT SERVICES FOR HIGH VOLTAGE AIR INSULATED SWITCHGEAR (AIS)",15/08/2025,14/10/2025,City of Cape Town,Request for Bid(Open-Tender),Western Cape,"12 Hertzog Boulevard, Tender distribution office., 2nd Floor, concourse Level, Civic Centre., Civic Centre , 8001",Tender Fee: R200 VENUE FOR SITE VISIT/CLARIFICATION MEETING : Microsoft Teams Meeting https://teams.microsoft.com/l/meetup-join/19%3ameeting_MTAxNjIyNjItMWQyYy00ODQxLTkxZDYtZmRhMTdjZjBiN2U5%40thread.v2/0?context=%7b%22Tid%22%3a%22ff731495-b3c8-44b3-93f8-6fca8fc5a699%22%2c%22Oid%22%3a%223b2009cb-8b80-4566-acb6-e44473f78ecb%22%7d Meeting ID: 379 719 007 019 Passcode: RU3we2Yu,SCM Office,SCM.Tenders23@capetown.gov.za,000-000-0000,000-000-0000,Yes,2025-08-29T10:00:00,,https://teams.microsoft.com/l/meetup-join/19%3ameeting_MTAxNjIyNjItMWQyYy00ODQxLTkxZDYtZmRhMTdjZjBiN,No,No,,
Services: General,GHCM 01-2025/26,Tender to appoint an independent single brokerage for the provision of medical aid brokerage services for the City of Tshwane for a period of three (3) years,15/08/2025,19/09/2025,City of Tshwane,Request for Bid(Open-Tender),Gauteng,"320 MADIBA STREET, Pretoria, pretoria, 0001",N/A,Thobela Javu,thobelajavu@tshwane.gov.za,012-358-6244,N/A,Yes,Yes,,"Tshwane Leadership and Management Academy, Auditorium, 11 Staatsartillerie Road, Pretoria West",No,No,,
Civil engineering,SC2587/2025,Electrification of Low-Cost Housing Areas in Overstrand for a Contract Period Ending 30 June 2028,15/08/2025,19/09/2025,Overstrand Municipality,Request for Bid(Open-Tender),Western Cape,"Overstrand, Overstrand, Overstrand, 7200",N/A,N Liebenberg,nliebenberg@overstrand.gov.za,028-313-9818,N/A,Yes,Yes,,"Overstrand Municipal Electrical Store, Molteno Street, Onrus River, Hermanus.",No,No,,
Construction,E1709DXEC,EXECUTION AND CONSTRUCTION OF MIDDELBURG/BULHOEK 22KV STRENGTHENING PHASE 2,15/08/2025,25/09/2025,ESKOM,Request for Bid(Open-Tender),Eastern Cape,"Corner Querera Drive and Bonza Bay Road, Beacon Bay, East London, 5205",N/A,Lonwabo Mavukwana,mavukwlm@eskom.co.za,043-703-2023,086-571-4571,Yes,Yes,,Eskom Middelburg Substation,Yes,Yes,,
"Electricity, gas, steam and air conditioning",E1489CXMWP,"The supply and delivery of industrial and specialty, gases, rental of the supplier’s gas cylinders, repair and maintenance of gas lines including parts on as and when required basis for a period of five (5) years.",15/08/2025,06/10/2025,ESKOM,Request for Bid(Open-Tender),Gauteng,"Eskom Research and Innovation Center,, Rosherville, Johannesburg, 2000",N/A,Thembekile Matshaya,MatshaTB@eskom.co.za,011-800-3046,N/A,Yes,2025-08-27T11:00:00,,"Eskom Research and Innovation Center AEL Boardroom, Lower Germiston Road, Rosherville,",No,No,,
Services: Civil,Bid No: 01/2025-26,Panel Appointment: Appointment of Contractors for The Construction of Rural Water Supply for the Period of 36 Months,15/08/2025,19/09/2025,Ga-Segonyana Local Municipality,Request for Quotation,Northern Cape,"Cnr Voortrekker and School Street, Kuruman, Kuruman, 8460",Bid Document to be uploaded on the 22 August 2025,Gloria Monchwe,gmonchwe@ga-segonyana.gov.za,053-712-9403,053-721-3581,No,,,,No,No,,
Security and investigation activities,E1424DXECR,"PROVISION OF SPECIALISED SECURITY SERVICES TO ENSURE THE PROTECTION OF PERSONNEL AND ASSETS IN THE EVENT OF CRIMINAL ACTIVITY OR THE RISK THEREOF, INCLUDING EMERGENCY SECURITY SITUATIONS",15/08/2025,23/09/2025,ESKOM,Request for Bid(Open-Tender),Eastern Cape,"Corner Querera Drive and Bonza Bay Road, Beacon Bay, East London, 5205",N/A,LONWABO MAKHASI MAVUKWANA,MavukwLM@eskom.co.za,043-703-2023,086-571-4571,Yes,2025-08-26T10:00:00,,MS Teams,Yes,Yes,,
Services: Civil,TDR48/2025/2026,"HIRING OF A WALK BEHIND ROLLER, ASPHALT CUTTER AND PLATE COMPACTOR",15/08/2025,19/09/2025,Mossel Bay Municipality,Request for Bid(Open-Tender),Western Cape,"101 March Street, Mossel bay Municipality, Mossel bay, 6500",N/A,Ms. Neziswa Gova,ngova@mosselbay.gov.za,044-606-5000,000-000-0000,No,,,,No,No,,
Information and communication,H004L2607RFP00062,BORDER MANAGEMENT AUTHORITY (BMA) INVITES ACCREDITED SERVICE PROVIDERS TO RESPOND TO THE REQUEST FOR BIDS (RFB) FOR THE SUPPLY AND INSTALLATION OF ADVANCED ELECTRONIC SIGNATURES FOR 150 BMA EMPLOYEES FOR A PERIOD OF THREE (3) YEARS.,15/08/2025,19/09/2025,Border Management Authority,Request for Proposal,Gauteng,"67 Koranna Avenue, Doringkloof, Centurion, 0157",N/A,SCM,suppliers.enquiries@bma.gov.za,012-432-6629,N/A,Yes,2025-09-05T11:00:00,,Virtual,Yes,No,,
Civil engineering,EPMLM/8/3/516,APPOINTMENT OF A CONTRACTOR FOR CONSTRUCTION OF DRIEFONTEIN INTERNAL ROAD,15/08/2025,19/09/2025,Ephraim Mogale Local Municipality,Request for Bid(Open-Tender),Limpopo,"13 Ficus street, Marble Hall, Marble hall, 0450",Requirements • Estimated CIDB Grading of 7CE or higher • Proven past experience Company Experience for Construction Service = 40; Management and key staff =30; List of plants = 20; Financial Capacity=10: Total = 100 Minimum qualifying points=75 Points,Solomon Marima,smarima@emogalelm.gov.za,013-261-8471,013-261-2985,Yes,Yes,,Marble Hall Town Hall,No,No,,
Services: Civil,RTD 02-2025/26,Tender for the appointment of a contractor for the Upgrading of Roads and Stormwater Systems in Mabopane Block U: Phase 1 for a duration of 12 Months,15/08/2025,19/09/2025,City of Tshwane,Request for Bid(Open-Tender),Gauteng,"MABOPANE BLOCK U: PHASE 1, PRETORIA, PRETORIA, 0001",CIDB grading: 7CE or higher,Goodman Mhlongo,GoodmanM2@tshwane.gov.za,012-358-7693,N/A,Yes,Yes,,"Sammy Marks Council Chamber, 1st Floor, cnr Lilian Ngoyi and Madiba Street, Pretoria CBD",No,No,,
Supplies: Medical,HP04-2026ONC,HP04-2026ONC: SUPPLY AND DELIVERY OF ONCOLOGY AND IMMUNOLOGICAL AGENTS TO THE DEPARTMENT OF HEALTH FOR THE PERIOD 01 JULY 2026 TO 30 JUNE 2028,15/08/2025,13/10/2025,Health,Request for Bid(Open-Tender),National,"Voortrekker Road, Pretoria Townlands 351-JR, PRETORIA, 0186",The Special Conditions of Contract is included in the bid pack. All potential bidders should read these conditions carefully as several changes were implemented. It is advised that all potential bidders should attend the non-compulsory briefing session by registering to attend the webinar with the link provided.,Tenders,tenders@health.gov.za,012-395-0000,N/A,Yes,2025-08-29T10:00:00,,https://teams.microsoft.com/l/meetup-join/19%3ameeting_NTIxMzliODUtYjZhOS00MjNiLWFiMTUtYTVkMGFkMzRhM,No,No,,
Supplies: Medical,HP16-2027EPI,SUPPLY AND DELIVERY OF VACCINES USED IN THE EXPANDED PROGRAMME ON IMMUNISATION (EPI) TO THE DEPARTMENT OF HEALTH FOR THE PERIOD 01 JANUARY 2027 TO 31 DECEMBER 2029,15/08/2025,13/10/2025,Health,Request for Bid(Open-Tender),National,"Voortrekker Road, Pretoria Townlands 351-JR, PRETORIA, 0186",The Special Conditions of Contract is included in the bid pack. All potential bidders should read these conditions carefully as several changes were implemented. It is advised that all potential bidders should attend the non-compulsory briefing session by registering to attend the webinar with the link provided.,Tenders,tenders@health.gov.za,012-395-0000,N/A,Yes,2025-09-05T10:00:00,,https://teams.microsoft.com/l/meetup-join/19%3ameeting_MTI1Mjc2NDctMGQ0Yi00MTRiLTg3YTMtZmM0MzA4NGU4O,No,No,,
Supplies: Medical,HP03-2026CHM,SUPPLY AND DELIVERY OF CONTRACEPTIVES AND HORMONE MODULATING AGENTS TO THE DEPARTMENT OF HEALTH FOR THE PERIOD 01 OCTOBER 2026 TO 30 SEPTEMBER 2029,15/08/2025,13/10/2025,Health,Request for Bid(Open-Tender),National,"Voortrekker Road, Pretoria Townlands 351-JR, PRETORIA, 0186",The Special Conditions of Contract is included in the bid pack. All potential bidders should read these conditions carefully as several changes were implemented. It is advised that all potential bidders should attend the non-compulsory briefing session by registering to attend the webinar with the link provided.,Tenders,tenders@health.gov.za,012-395-0000,N/A,Yes,2025-08-29T10:00:00,,https://teams.microsoft.com/l/meetup-join/19%3ameeting_NTIxMzliODUtYjZhOS00MjNiLWFiMTUtYTVkMGFkMzRhM,No,No,,
"Manufacture of fabricated metal products, except machinery and equipment",E1722GXMPTUT,Supply and delivery of large couplings spares for the Milling Plant at Tutuka Power Station “on an as and when required Basis” for a duration of 60 Months,15/08/2025,03/10/2025,ESKOM,Request for Bid(Open-Tender),Mpumalanga,"Tutuka Power Station, thuthukani, standerton, 2430",N/A,Basetsana Lebese,lebesenb@eskom.co.za,017-749-9111,N/A,Yes,2025-09-23T10:00:00,,on teams,Yes,No,,
Services: Professional,CTIA7892/2025/RFP,THE PROVISION OF A MULTI-DISCIPLINARY BUILT ENVIRONMENT PROFESSIONAL TEAM FOR THE CONSTRUCTION OF THE NEW GROUND SUPPORT EQUIPMENT WORKSHOPS PROJECT AT CAPE TOWN INTERNATIONAL AIRPORT FOR A PERIOD OF 36 MONTHS.,15/08/2025,26/09/2025,Airports Company of South Africa,Request for Bid(Open-Tender),Western Cape,"Cape Town International Airport, Matroosfontein, CITY OF CAPE TOWN, 8000",Compulsory Briefing Session AND Site Inspection Every bidder must come to the site with the following: (a) Reflective jacket (b) Identity Document and a copy of your ID (not driver’s license) (c) Relevant PPE for site inspection The Attendance register will only be signed after both Compulsory Briefing session AND Site visit has been attended,Graham Mark Mitchell,ctiatender.admin@airports.co.za,021-935-4325,021-935-4325,Yes,Yes,,SOUTHERN OFFICE BLOCK BUILDING – Ground Floor – Cape Town International Airport – Matroosfontein,No,No,,
Other service activities,MMM/BID 792: 2025/2026,CITY ENTRANCE BEAUTIFICATION OF NELSON MANDELA DRIVE,15/08/2025,19/09/2025,Mangaung Metropolitan Municipality,Request for Bid(Open-Tender),Free State,"Supply Chain Management Offices, 6 Mannion Road, Orangesig, Bloemfontein, 9300, Orangesig, Bloemfontein, BLOEMFONTEIN, 9300",N/A,Hilda Ramakuela,Hilda.Ramakuela@mangaung.co.za,051-412-7000,N/A,Yes,Yes,,"Floreat Hall, Bram Fischer Building Cnr. Makraf & Nelson Mandela",No,No,,
Other service activities,MMM/BID 793: 2025/2026,CITY ENTRANCE BEAUTIFICATION OF MASELSPOORT DRIVE,15/08/2025,19/09/2025,Mangaung Metropolitan Municipality,Request for Bid(Open-Tender),Free State,"Supply Chain Management Offices, 6 Mannion Road, Orangesig, Bloemfontein, 9300, Orangesig, Bloemfontein, BLOEMFONTEIN, 9300",N/A,Hilda Ramakuela,Hilda.Ramakuela@mangaung.co.za,051-412-7000,N/A,Yes,Yes,,"Floreat Hall, Bram Fischer Building Cnr. Makraf & Nelson Mandela",No,No,,
Other personal service activities,FIN-SCM-TEN-0132,Provision of advice and central service delivery on occupational health,15/08/2025,19/09/2025,South African Nuclear Energy Corporation Limited,Request for Bid(Open-Tender),North West,"R104 Elias Motsoaledi Street (Church Street West Ext), Pelindaba, Pelindaba, 0240",N/A,Buyani Nsibande,scm@necsa.co.za,012-305-6072,N/A,No,,,Necsa Site,No,No,,
Information and communication,E1710CXMWP,Provision of Continuous Threat Exposure Management (CTEM) Professional managed services for a period of five (5) years,15/08/2025,09/10/2025,ESKOM,Request for Proposal,Gauteng,"01 Maxwell Drive, Sunninghill, Sandton, 2109",N/A,Mbulelo Sidwell Mncengani,MncengMS@eskom.co.za,011-800-2877,N/A,Yes,,,https://teams.microsoft.com/l/meetup-join/19%3ameeting_OGNkYzA2NTItNjZhMi00MDZjLThiNjMtOGUyOWVjMWE0M,Yes,No,,
Construction,FIN-SCM-TEN-0134,Bid for SAFARI-1 Cooling Tower Fills Replacement,15/08/2025,26/09/2025,South African Nuclear Energy Corporation Limited,Request for Bid(Open-Tender),North West,"R104 Elias Motsoaledi Street (Church Street West Ext), Pelindaba, Pelindaba, 0240",N/A,Buyani Nsibande,scm@necsa.co.za,012-305-6072,N/A,Yes,Yes,,Necsa Site,No,No,,
Repair and installation of machinery and equipment,TLM05/2025/26,PANEL OF SERVICE PROVIDERS FOR THE REPAIR AND MAINTENANCE OF PUMPS AND PUMP STATION INFRASTRUCTURE FOR A PERIOD OF THREE (3) YEARS AS AND WHEN NEEDED,15/08/2025,19/09/2025,Thembelihle Local Municipality,Request for Bid(Open-Tender),Northern Cape,"CHURCH STREET, HOPETOWN, HOPETOWN, 8750",N/A,MR. M DUBA/MRS. N JAXA,mantech@tlm.gov.za,053-203-0005,053-203-0490,No,,,,No,No,,
Air transport,ATNS/TPG/RFP20/2025/2026/ATIS,"The appointment of a service provider for the supply, delivery, installation, and commissioning of an automatic terminal information service (ATIS) system at Bram Fischer International Airport (FABL), George Airport (FAGG), Port Elizabeth Airport (FAPE), East London Airport (FAEL), Cape Town International airport (fact), O.R Tambo International Airport (FAOR), King Shaka International Airport (FALE),and the Aviation Training Academy (ATA).",15/08/2025,15/10/2025,Air Traffic and Navigation Services Company Limited,Request for Bid(Open-Tender),National,"South Boulevard Road, Kempton Park, Kempton Park, 1619",N/A,Lament Nkadimeng,Lamentn@atns.co.za,011-617-1218,N/A,Yes,2025-08-28T11:00:00,,Microsoft Teams,No,No,,
Wholesale and retail trade and repair of motor vehicles and motorcycles,COMM 07/2025/26,"APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR THE REPAIR, MAINTENANCE AND SERVICING OF MUNICIPAL VEHICLES IN THE THEEWATERSKLOOF MUNICIPAL AREA FOR THE PERIOD FROM DATE OF APPOINTMENT UNTILL 30 JUNE 2028.",14/08/2025,19/09/2025,Theewaterkloof Municipality,Request for Proposal,Western Cape,"Caledon, Caledon, Caledon, 7230",N/A,Marlon Ferndale,marlonfe@twk.gov.za,028-214-3300,028-214-3300,Yes,Yes,,"Theewaterskloof Municipal Office, Caledon Town Hall, 22 Plein Street, Caledon on Friday, 22 August 2",No,No,,
Civil engineering,MWP2350TX KAPPA,"CANCELLATION OF THE TO COMPLETE DETAIL DESIGNS AND CONSTRUCTION DESIGNS, BUY, DELIVER AND INSTALL 500 MVA 400/132/22 KV 2nd TRANSFORMER, EXTEND THE 400KV BUSBAR AND EQUIP THE 400KV FEEDER AND 132 kV FEEDER AT KAPPA SUBSTATION",14/08/2025,30/09/2025,ESKOM,Request for Bid(Open-Tender),Western Cape,"Eskom Megawatt Park - Tender office, Johannesburg, 2000","After careful considerations, we regret to advise that NTCSA SOC Limited would like to cancel the above tender, due to the following reasons(s): That the tender MWP2350TX be cancelled as the offer is far above the approved budget. NTCSA would like to take the opportunity to thank you for participation in the above.",Mashite Mabilo,mashite.mabilo@ntcsa.co.za,083-582-5153,N/A,No,,,,No,No,,
Supplies: General,E1705GXMPKRI,SUPPLY AND DELIVERY OF BOILER TUBE SPARES ON AN “AS AND WHEN” REQUIRED BASIS AT KRIEL POWER STATION FOR A PERIOD OF FIVE YEARS.,14/08/2025,23/09/2025,ESKOM,Request for Bid(Open-Tender),Mpumalanga,"Ogies and Bethal Road, Kriel, Kriel Town, 2271",N/A,Matlou Maremane,MaremaMF@eskom.co.za,017-648-0141,N/A,Yes,2025-09-04T09:00:00,,ms teams,No,No,,
Construction of buildings,RLM/DRT/0170/2024/25..,Appointment of a contractor for the construction of Rustenburg rapid transport stations superstructures zone B (turnkey solution) for 10 months,14/08/2025,09/10/2025,Rustenburg Local Municipality,Request for Quotation,North West,"Cnr Beyers Naude and Nelson Mandela Drive , Rustenburg, Rustenburg , 0300",Please see the attached COMPULSORY BRIEFING SESSION Meeting ID: 321 633 943 192 0 Passcode: 7zg3ad9T,Mr. J. Masinga,jmasinga@rusteburg.gov.za,014-590-3123,N/A,Yes,Yes,,https://teams.microsoft.com/l/meetup-join/19%3ameeting_NWVkYmYxZmItMzhlMy00NzM4LWEyYjQtMzMxNWQ3NDFhZ,No,No,,
Supplies: Electrical Equipment,EED 01-2025/26,"Tender for supply, delivery and offloading of fittings and connectors for low voltage aerial bundle conductors (ABC) on an as when required basis for a 3-year period.",14/08/2025,26/09/2025,City of Tshwane,Request for Bid(Open-Tender),Gauteng,"ENERGY AND ELECTRICITY, PRETORIA, PRETORIA, 0001",N/A,Ernest T Mabe,ernestmab@tshwane.gov.za,012-358-6398,N/A,No,2025-08-14T11:00:00,,,No,No,,
Services: Civil,ROC 01-2025/26,"Tender for maintenance, rehabilitation, upgrading and installation of stormwater systems, repairs to bridges and repairs to paved surfaces in all 7 Regions of the City of Tshwane, as and when required for a 3-year period.",14/08/2025,25/09/2025,City of Tshwane,Request for Bid(Open-Tender),Gauteng,"7 REGIONS, PRETORIA, PRETORIA, 0001",CIDB grading: 7CE or higher,Steven Macheve,stevenma@tshwane.gov.za,012-358-9247,N/A,Yes,Yes,,"Tshwane Leadership and Management Academy Auditorium, 11 Staatsartillerie Road, Pretoria West",No,No,,
Services: General,GICT 03-2025/26,"Tender to provide, operate and maintain the ICT corporate network equipment, existing hosted voice and data solution deployed, and the expansion of the existing corporate network as and when for a period of three (3) years.",14/08/2025,25/09/2025,City of Tshwane,Request for Bid(Open-Tender),Gauteng,"320 MADIBA STREET, PRETORIA, PRETORIA, 0001",Subcontracting: Minimum of 30% will be subcontracted for this tender,Leroy Olivier,leroyo@tshwane.gov.za,012-358-4994,N/A,No,2025-08-14T11:00:00,,,No,No,,
